10000000
#,0%,1.5%,2.0%,2.5%
1,1.100035,1.119965,1.120032,1.148001
2,1.107983,1.116034,1.123975,1.128037
3,1.103968,1.116043,1.123991,1.127977
4,1.099995,1.112058,1.123986,1.127995
5,1.100018,1.11602,1.123989,1.128003
6,1.099999,1.116021,1.123984,1.131968
7,1.096058,1.119969,1.124007,1.127989
8,1.100045,1.11599,1.123978,1.128019
9,1.099993,1.116026,1.127978,1.128
10,1.096041,1.120001,1.123985,1.128015
11,1.100029,1.116041,1.123975,1.128015
12,1.10002,1.116026,1.123998,1.127979
13,1.100029,1.119957,1.124,1.128027
14,1.103984,1.116043,1.123974,1.128013
15,1.096034,1.123952,1.120032,1.128001
16,1.100013,1.115989,1.120014,1.128001
17,1.10002,1.116005,1.123995,1.128009
18,1.10001,1.119953,1.120039,1.127994
19,1.100016,1.116018,1.12399,1.12799
20,1.103991,1.116012,1.123986,1.128015
